protein,present_n_lines,present_n_plex,plexes_present,plexes_absent,absent_from_any_plex,pct_lines_missing,pass_presence50
PTDSS1,25,4,1;2;3;5,4,TRUE,19.4,TRUE
NES,31,5,1;2;3;4;5,,FALSE,0,TRUE
HSPA13,31,5,1;2;3;4;5,,FALSE,0,TRUE
CSNK1A1,31,5,1;2;3;4;5,,FALSE,0,TRUE
CSNK1D,31,5,1;2;3;4;5,,FALSE,0,TRUE
IDH2,31,5,1;2;3;4;5,,FALSE,0,TRUE
PITPNB,31,5,1;2;3;4;5,,FALSE,0,TRUE
NOV,11,2,3;4,1;2;5,TRUE,64.5,FALSE
CD97,31,5,1;2;3;4;5,,FALSE,0,TRUE
POLD2,31,5,1;2;3;4;5,,FALSE,0,TRUE
MARCKSL1,31,5,1;2;3;4;5,,FALSE,0,TRUE
PXN,31,5,1;2;3;4;5,,FALSE,0,TRUE
CAMLG,31,5,1;2;3;4;5,,FALSE,0,TRUE
NR2C2,31,5,1;2;3;4;5,,FALSE,0,TRUE
MAPKAPK2,31,5,1;2;3;4;5,,FALSE,0,TRUE
DNASE1L1,19,3,1;2;4,3;5,TRUE,38.7,TRUE
ALDH9A1,31,5,1;2;3;4;5,,FALSE,0,TRUE
RPL34,31,5,1;2;3;4;5,,FALSE,0,TRUE
RPIA,31,5,1;2;3;4;5,,FALSE,0,TRUE
LMAN1,31,5,1;2;3;4;5,,FALSE,0,TRUE
SLC11A2,31,5,1;2;3;4;5,,FALSE,0,TRUE
NASP,31,5,1;2;3;4;5,,FALSE,0,TRUE
FASN,31,5,1;2;3;4;5,,FALSE,0,TRUE
CDK8,31,5,1;2;3;4;5,,FALSE,0,TRUE
FNTA,31,5,1;2;3;4;5,,FALSE,0,TRUE
FNTB,31,5,1;2;3;4;5,,FALSE,0,TRUE
DHPS,31,5,1;2;3;4;5,,FALSE,0,TRUE
CCT3,31,5,1;2;3;4;5,,FALSE,0,TRUE
MRPL19,31,5,1;2;3;4;5,,FALSE,0,TRUE
ARRB1,31,5,1;2;3;4;5,,FALSE,0,TRUE
TUFM,31,5,1;2;3;4;5,,FALSE,0,TRUE
ALDH7A1,31,5,1;2;3;4;5,,FALSE,0,TRUE
CDC34,31,5,1;2;3;4;5,,FALSE,0,TRUE
INPP1,31,5,1;2;3;4;5,,FALSE,0,TRUE
GLUD2,31,5,1;2;3;4;5,,FALSE,0,TRUE
CENPF,31,5,1;2;3;4;5,,FALSE,0,TRUE
SRP9,31,5,1;2;3;4;5,,FALSE,0,TRUE
UBE2A,31,5,1;2;3;4;5,,FALSE,0,TRUE
PCYT1A,31,5,1;2;3;4;5,,FALSE,0,TRUE
AARS,31,5,1;2;3;4;5,,FALSE,0,TRUE
CARS,31,5,1;2;3;4;5,,FALSE,0,TRUE
HARS2,31,5,1;2;3;4;5,,FALSE,0,TRUE
SARS,31,5,1;2;3;4;5,,FALSE,0,TRUE
PPM1F,31,5,1;2;3;4;5,,FALSE,0,TRUE
MAN2A2,31,5,1;2;3;4;5,,FALSE,0,TRUE
PRIM1,31,5,1;2;3;4;5,,FALSE,0,TRUE
PRIM2,31,5,1;2;3;4;5,,FALSE,0,TRUE
CASP4,31,5,1;2;3;4;5,,FALSE,0,TRUE
CSNK1E,31,5,1;2;3;4;5,,FALSE,0,TRUE
CTCF,31,5,1;2;3;4;5,,FALSE,0,TRUE
CEBPA,19,3,2;4;5,1;3,TRUE,38.7,TRUE
CEBPD,24,4,2;3;4;5,1,TRUE,22.6,TRUE
PSMB3,31,5,1;2;3;4;5,,FALSE,0,TRUE
PSMB2,31,5,1;2;3;4;5,,FALSE,0,TRUE
MCM2,31,5,1;2;3;4;5,,FALSE,0,TRUE
THBS3,31,5,1;2;3;4;5,,FALSE,0,TRUE
COMP,20,3,1;4;5,2;3,TRUE,35.5,TRUE
ACADVL,31,5,1;2;3;4;5,,FALSE,0,TRUE
YLPM1,31,5,1;2;3;4;5,,FALSE,0,TRUE
ACOT2,31,5,1;2;3;4;5,,FALSE,0,TRUE
VPS41,31,5,1;2;3;4;5,,FALSE,0,TRUE
TMED10,31,5,1;2;3;4;5,,FALSE,0,TRUE
RBM25,31,5,1;2;3;4;5,,FALSE,0,TRUE
NUMB,31,5,1;2;3;4;5,,FALSE,0,TRUE
CLK1,6,1,2,1;3;4;5,TRUE,80.6,FALSE
CLK2,13,2,1;2,3;4;5,TRUE,58.1,FALSE
CLK3,31,5,1;2;3;4;5,,FALSE,0,TRUE
PSEN1,31,5,1;2;3;4;5,,FALSE,0,TRUE
EIF2B2,31,5,1;2;3;4;5,,FALSE,0,TRUE
HINT1,31,5,1;2;3;4;5,,FALSE,0,TRUE
FHIT,26,4,1;2;4;5,3,TRUE,16.1,TRUE
NUP153,31,5,1;2;3;4;5,,FALSE,0,TRUE
RANBP2,31,5,1;2;3;4;5,,FALSE,0,TRUE
RGS19,31,5,1;2;3;4;5,,FALSE,0,TRUE
PSEN2,6,1,2,1;3;4;5,TRUE,80.6,FALSE
TSC2,31,5,1;2;3;4;5,,FALSE,0,TRUE
NDUFV1,31,5,1;2;3;4;5,,FALSE,0,TRUE
GSK3A,31,5,1;2;3;4;5,,FALSE,0,TRUE
GSK3B,31,5,1;2;3;4;5,,FALSE,0,TRUE
TAF6,31,5,1;2;3;4;5,,FALSE,0,TRUE
KLK7,11,2,2;3,1;4;5,TRUE,64.5,FALSE
SULT1E1,31,5,1;2;3;4;5,,FALSE,0,TRUE
NT5C2,31,5,1;2;3;4;5,,FALSE,0,TRUE
SEPHS1,31,5,1;2;3;4;5,,FALSE,0,TRUE
MTHFS,31,5,1;2;3;4;5,,FALSE,0,TRUE
GMPS,31,5,1;2;3;4;5,,FALSE,0,TRUE
LIG3,31,5,1;2;3;4;5,,FALSE,0,TRUE
LIG4,25,4,1;3;4;5,2,TRUE,19.4,TRUE
CDKN1C,13,2,1;2,3;4;5,TRUE,58.1,FALSE
MRE11,31,5,1;2;3;4;5,,FALSE,0,TRUE
ENTPD1,31,5,1;2;3;4;5,,FALSE,0,TRUE
HNMT,31,5,1;2;3;4;5,,FALSE,0,TRUE
GNAQ,31,5,1;2;3;4;5,,FALSE,0,TRUE
GNG10,31,5,1;2;3;4;5,,FALSE,0,TRUE
IDH3A,31,5,1;2;3;4;5,,FALSE,0,TRUE
SULT1A1,18,3,2;3;5,1;4,TRUE,41.9,TRUE
CRIP1,31,5,1;2;3;4;5,,FALSE,0,TRUE
MMP14,31,5,1;2;3;4;5,,FALSE,0,TRUE
PPOX,31,5,1;2;3;4;5,,FALSE,0,TRUE
GDI2,31,5,1;2;3;4;5,,FALSE,0,TRUE
EMD,31,5,1;2;3;4;5,,FALSE,0,TRUE
CPT1A,31,5,1;2;3;4;5,,FALSE,0,TRUE
GATM,31,5,1;2;3;4;5,,FALSE,0,TRUE
SLC26A2,31,5,1;2;3;4;5,,FALSE,0,TRUE
SERPINB8,31,5,1;2;3;4;5,,FALSE,0,TRUE
SERPINB9,31,5,1;2;3;4;5,,FALSE,0,TRUE
SERPINH1,31,5,1;2;3;4;5,,FALSE,0,TRUE
PDLIM4,31,5,1;2;3;4;5,,FALSE,0,TRUE
ST13,31,5,1;2;3;4;5,,FALSE,0,TRUE
PEX5,31,5,1;2;3;4;5,,FALSE,0,TRUE
ERF,31,5,1;2;3;4;5,,FALSE,0,TRUE
VASP,31,5,1;2;3;4;5,,FALSE,0,TRUE
DNM2,31,5,1;2;3;4;5,,FALSE,0,TRUE
METAP2,31,5,1;2;3;4;5,,FALSE,0,TRUE
NUDT2,31,5,1;2;3;4;5,,FALSE,0,TRUE
TNFSF10,24,4,1;2;3;4,5,TRUE,22.6,TRUE
CDK7,31,5,1;2;3;4;5,,FALSE,0,TRUE
HLCS,24,4,2;3;4;5,1,TRUE,22.6,TRUE
KNTC1,31,5,1;2;3;4;5,,FALSE,0,TRUE
CDK9,31,5,1;2;3;4;5,,FALSE,0,TRUE
LRBA,31,5,1;2;3;4;5,,FALSE,0,TRUE
BCAM,31,5,1;2;3;4;5,,FALSE,0,TRUE
PPT1,31,5,1;2;3;4;5,,FALSE,0,TRUE
RPL14,31,5,1;2;3;4;5,,FALSE,0,TRUE
CCT8,31,5,1;2;3;4;5,,FALSE,0,TRUE
CCT4,31,5,1;2;3;4;5,,FALSE,0,TRUE
ANXA11,31,5,1;2;3;4;5,,FALSE,0,TRUE
PAPOLA,31,5,1;2;3;4;5,,FALSE,0,TRUE
FXR1,31,5,1;2;3;4;5,,FALSE,0,TRUE
FXR2,31,5,1;2;3;4;5,,FALSE,0,TRUE
RAB5C,31,5,1;2;3;4;5,,FALSE,0,TRUE
RAB7A,31,5,1;2;3;4;5,,FALSE,0,TRUE
RAB9A,31,5,1;2;3;4;5,,FALSE,0,TRUE
RAB13,31,5,1;2;3;4;5,,FALSE,0,TRUE
RAB27A,31,5,1;2;3;4;5,,FALSE,0,TRUE
PLCD1,26,4,1;2;4;5,3,TRUE,16.1,TRUE
DAP,31,5,1;2;3;4;5,,FALSE,0,TRUE
DAP3,31,5,1;2;3;4;5,,FALSE,0,TRUE
DUSP3,31,5,1;2;3;4;5,,FALSE,0,TRUE
MMP15,31,5,1;2;3;4;5,,FALSE,0,TRUE
NOVA1,12,2,2;4,1;3;5,TRUE,61.3,FALSE
SMARCA2,31,5,1;2;3;4;5,,FALSE,0,TRUE
SMARCA4,31,5,1;2;3;4;5,,FALSE,0,TRUE
IDH3G,31,5,1;2;3;4;5,,FALSE,0,TRUE
GALK1,31,5,1;2;3;4;5,,FALSE,0,TRUE
SSR4,31,5,1;2;3;4;5,,FALSE,0,TRUE
BCAP31,31,5,1;2;3;4;5,,FALSE,0,TRUE
TPMT,31,5,1;2;3;4;5,,FALSE,0,TRUE
BRCA2,31,5,1;2;3;4;5,,FALSE,0,TRUE
MECP2,31,5,1;2;3;4;5,,FALSE,0,TRUE
HCFC1,31,5,1;2;3;4;5,,FALSE,0,TRUE
IRAK1,31,5,1;2;3;4;5,,FALSE,0,TRUE
CAV2,31,5,1;2;3;4;5,,FALSE,0,TRUE
ALDH3A2,31,5,1;2;3;4;5,,FALSE,0,TRUE
ALDH5A1,31,5,1;2;3;4;5,,FALSE,0,TRUE
GPC3,31,5,1;2;3;4;5,,FALSE,0,TRUE
HSD17B4,31,5,1;2;3;4;5,,FALSE,0,TRUE
PSMD7,31,5,1;2;3;4;5,,FALSE,0,TRUE
SUOX,31,5,1;2;3;4;5,,FALSE,0,TRUE
SGSH,31,5,1;2;3;4;5,,FALSE,0,TRUE
ARSD,13,2,1;2,3;4;5,TRUE,58.1,FALSE
ARSE,31,5,1;2;3;4;5,,FALSE,0,TRUE
STAT5B,31,5,1;2;3;4;5,,FALSE,0,TRUE
APLP1,25,4,1;3;4;5,2,TRUE,19.4,TRUE
USP11,31,5,1;2;3;4;5,,FALSE,0,TRUE
CLCN2,24,4,1;2;3;4,5,TRUE,22.6,TRUE
CLCN3,31,5,1;2;3;4;5,,FALSE,0,TRUE
CLCN5,13,2,2;5,1;3;4,TRUE,58.1,FALSE
CLCN7,31,5,1;2;3;4;5,,FALSE,0,TRUE
PLXNA3,18,3,1;2;3,4;5,TRUE,41.9,TRUE
VAMP7,31,5,1;2;3;4;5,,FALSE,0,TRUE
RPS6KA3,31,5,1;2;3;4;5,,FALSE,0,TRUE
ZNF75D,6,1,4,1;2;3;5,TRUE,80.6,FALSE
AFF1,26,4,1;2;4;5,3,TRUE,16.1,TRUE
TKTL1,31,5,1;2;3;4;5,,FALSE,0,TRUE
HDGF,31,5,1;2;3;4;5,,FALSE,0,TRUE
LUM,31,5,1;2;3;4;5,,FALSE,0,TRUE
CNN1,7,1,1,2;3;4;5,TRUE,77.4,FALSE
CCNH,31,5,1;2;3;4;5,,FALSE,0,TRUE
MNAT1,31,5,1;2;3;4;5,,FALSE,0,TRUE
UBE2E1,31,5,1;2;3;4;5,,FALSE,0,TRUE
NDUFA8,31,5,1;2;3;4;5,,FALSE,0,TRUE
HNRNPA3,31,5,1;2;3;4;5,,FALSE,0,TRUE
PGD,31,5,1;2;3;4;5,,FALSE,0,TRUE
HNRNPM,31,5,1;2;3;4;5,,FALSE,0,TRUE
KPNA2,31,5,1;2;3;4;5,,FALSE,0,TRUE
KPNA1,31,5,1;2;3;4;5,,FALSE,0,TRUE
NCBP2,31,5,1;2;3;4;5,,FALSE,0,TRUE
RAP1GDS1,31,5,1;2;3;4;5,,FALSE,0,TRUE
DGKE,26,4,1;2;4;5,3,TRUE,16.1,TRUE
POLR2H,31,5,1;2;3;4;5,,FALSE,0,TRUE
POLR2J,31,5,1;2;3;4;5,,FALSE,0,TRUE
MAP2K6,13,2,1;4,2;3;5,TRUE,58.1,FALSE
ARHGDIA,31,5,1;2;3;4;5,,FALSE,0,TRUE
ARHGDIB,31,5,1;2;3;4;5,,FALSE,0,TRUE
SLC7A2,31,5,1;2;3;4;5,,FALSE,0,TRUE
AGFG1,31,5,1;2;3;4;5,,FALSE,0,TRUE
HNRNPF,31,5,1;2;3;4;5,,FALSE,0,TRUE
STAT2,31,5,1;2;3;4;5,,FALSE,0,TRUE
GTF2A1,31,5,1;2;3;4;5,,FALSE,0,TRUE
GTF2A2,31,5,1;2;3;4;5,,FALSE,0,TRUE
MSH6,31,5,1;2;3;4;5,,FALSE,0,TRUE
KIF11,31,5,1;2;3;4;5,,FALSE,0,TRUE
VAV2,31,5,1;2;3;4;5,,FALSE,0,TRUE
ZNF131,11,2,3;4,1;2;5,TRUE,64.5,FALSE
ZNF132,19,3,1;2;4,3;5,TRUE,38.7,TRUE
ZNF143,31,5,1;2;3;4;5,,FALSE,0,TRUE
RBM5,31,5,1;2;3;4;5,,FALSE,0,TRUE
RIDA,31,5,1;2;3;4;5,,FALSE,0,TRUE
SMS,31,5,1;2;3;4;5,,FALSE,0,TRUE
HK2,31,5,1;2;3;4;5,,FALSE,0,TRUE
EFNB2,31,5,1;2;3;4;5,,FALSE,0,TRUE
EFNA5,13,2,1;4,2;3;5,TRUE,58.1,FALSE
MRPL12,31,5,1;2;3;4;5,,FALSE,0,TRUE
STC1,14,2,1;5,2;3;4,TRUE,54.8,FALSE
NDST1,31,5,1;2;3;4;5,,FALSE,0,TRUE
THOP1,31,5,1;2;3;4;5,,FALSE,0,TRUE
AKR1C2,31,5,1;2;3;4;5,,FALSE,0,TRUE
CAPZA1,31,5,1;2;3;4;5,,FALSE,0,TRUE
HMGA2,31,5,1;2;3;4;5,,FALSE,0,TRUE
CRIP2,31,5,1;2;3;4;5,,FALSE,0,TRUE
NUP98,31,5,1;2;3;4;5,,FALSE,0,TRUE
BLVRA,31,5,1;2;3;4;5,,FALSE,0,TRUE
SLC25A1,31,5,1;2;3;4;5,,FALSE,0,TRUE
PPP5C,31,5,1;2;3;4;5,,FALSE,0,TRUE
PLK1,31,5,1;2;3;4;5,,FALSE,0,TRUE
DAPK1,31,5,1;2;3;4;5,,FALSE,0,TRUE
ARFIP2,31,5,1;2;3;4;5,,FALSE,0,TRUE
ARFIP1,31,5,1;2;3;4;5,,FALSE,0,TRUE
NUDT6,24,4,1;2;3;4,5,TRUE,22.6,TRUE
NUBP1,31,5,1;2;3;4;5,,FALSE,0,TRUE
ACLY,31,5,1;2;3;4;5,,FALSE,0,TRUE
CEBPG,25,4,1;2;3;5,4,TRUE,19.4,TRUE
METAP1,31,5,1;2;3;4;5,,FALSE,0,TRUE
SUCLG1,31,5,1;2;3;4;5,,FALSE,0,TRUE
MVD,31,5,1;2;3;4;5,,FALSE,0,TRUE
PGGT1B,25,4,1;2;3;5,4,TRUE,19.4,TRUE
RABGGTB,31,5,1;2;3;4;5,,FALSE,0,TRUE
COPB1,31,5,1;2;3;4;5,,FALSE,0,TRUE
COPA,31,5,1;2;3;4;5,,FALSE,0,TRUE
CTSC,31,5,1;2;3;4;5,,FALSE,0,TRUE
LIMK1,13,2,1;2,3;4;5,TRUE,58.1,FALSE
LIMK2,31,5,1;2;3;4;5,,FALSE,0,TRUE
CLTCL1,31,5,1;2;3;4;5,,FALSE,0,TRUE
AP3M2,24,4,1;2;3;4,5,TRUE,22.6,TRUE
AP2S1,31,5,1;2;3;4;5,,FALSE,0,TRUE
HCCS,31,5,1;2;3;4;5,,FALSE,0,TRUE
MAPK12,13,2,1;2,3;4;5,TRUE,58.1,FALSE
SLC5A3,31,5,1;2;3;4;5,,FALSE,0,TRUE
PTTG1IP,31,5,1;2;3;4;5,,FALSE,0,TRUE
POLR2K,31,5,1;2;3;4;5,,FALSE,0,TRUE
TTC3,13,2,4;5,1;2;3,TRUE,58.1,FALSE
SMTN,31,5,1;2;3;4;5,,FALSE,0,TRUE
SLC16A1,31,5,1;2;3;4;5,,FALSE,0,TRUE
IST1,31,5,1;2;3;4;5,,FALSE,0,TRUE
SEC24C,31,5,1;2;3;4;5,,FALSE,0,TRUE
SUB1,31,5,1;2;3;4;5,,FALSE,0,TRUE
POLG,31,5,1;2;3;4;5,,FALSE,0,TRUE
CLNS1A,31,5,1;2;3;4;5,,FALSE,0,TRUE
BLM,31,5,1;2;3;4;5,,FALSE,0,TRUE
RARS,31,5,1;2;3;4;5,,FALSE,0,TRUE
HIRA,31,5,1;2;3;4;5,,FALSE,0,TRUE
ATXN3,31,5,1;2;3;4;5,,FALSE,0,TRUE
ATXN1,31,5,1;2;3;4;5,,FALSE,0,TRUE
ATN1,31,5,1;2;3;4;5,,FALSE,0,TRUE
TERF1,31,5,1;2;3;4;5,,FALSE,0,TRUE
PMS1,31,5,1;2;3;4;5,,FALSE,0,TRUE
PMS2,31,5,1;2;3;4;5,,FALSE,0,TRUE
CACNA2D1,31,5,1;2;3;4;5,,FALSE,0,TRUE
YARS,31,5,1;2;3;4;5,,FALSE,0,TRUE
USP14,31,5,1;2;3;4;5,,FALSE,0,TRUE
PRKAG1,31,5,1;2;3;4;5,,FALSE,0,TRUE
HSPA2,31,5,1;2;3;4;5,,FALSE,0,TRUE
BCAT1,31,5,1;2;3;4;5,,FALSE,0,TRUE
ATP1B3,31,5,1;2;3;4;5,,FALSE,0,TRUE
RAD23A,31,5,1;2;3;4;5,,FALSE,0,TRUE
RAD23B,31,5,1;2;3;4;5,,FALSE,0,TRUE
EPHA5,31,5,1;2;3;4;5,,FALSE,0,TRUE
EPHB4,31,5,1;2;3;4;5,,FALSE,0,TRUE
EPHA4,20,3,1;2;5,3;4,TRUE,35.5,TRUE
NAGLU,31,5,1;2;3;4;5,,FALSE,0,TRUE
GALC,31,5,1;2;3;4;5,,FALSE,0,TRUE
AK2,31,5,1;2;3;4;5,,FALSE,0,TRUE
GAS1,6,1,4,1;2;3;5,TRUE,80.6,FALSE
HMGCS2,14,2,1;5,2;3;4,TRUE,54.8,FALSE
ALDH18A1,31,5,1;2;3;4;5,,FALSE,0,TRUE
NAPA,31,5,1;2;3;4;5,,FALSE,0,TRUE
MFAP2,31,5,1;2;3;4;5,,FALSE,0,TRUE
EIF5,31,5,1;2;3;4;5,,FALSE,0,TRUE
SLC12A2,31,5,1;2;3;4;5,,FALSE,0,TRUE
PSMD4,31,5,1;2;3;4;5,,FALSE,0,TRUE
DRG2,31,5,1;2;3;4;5,,FALSE,0,TRUE
PLTP,26,4,1;2;4;5,3,TRUE,16.1,TRUE
CSE1L,31,5,1;2;3;4;5,,FALSE,0,TRUE
TMBIM6,31,5,1;2;3;4;5,,FALSE,0,TRUE
AQP5,24,4,2;3;4;5,1,TRUE,22.6,TRUE
VCP,31,5,1;2;3;4;5,,FALSE,0,TRUE
MFAP1,31,5,1;2;3;4;5,,FALSE,0,TRUE
MFAP3,24,4,1;2;3;4,5,TRUE,22.6,TRUE
HADHB,31,5,1;2;3;4;5,,FALSE,0,TRUE
F2RL1,18,3,2;3;5,1;4,TRUE,41.9,TRUE
MANF,31,5,1;2;3;4;5,,FALSE,0,TRUE
MTTP,7,1,5,1;2;3;4,TRUE,77.4,FALSE
AFDN,31,5,1;2;3;4;5,,FALSE,0,TRUE
MLLT10,31,5,1;2;3;4;5,,FALSE,0,TRUE
MLLT6,13,2,1;2,3;4;5,TRUE,58.1,FALSE
ELL,31,5,1;2;3;4;5,,FALSE,0,TRUE
BRPF1,31,5,1;2;3;4;5,,FALSE,0,TRUE
NAP1L1,31,5,1;2;3;4;5,,FALSE,0,TRUE
CASP7,31,5,1;2;3;4;5,,FALSE,0,TRUE
CASP9,31,5,1;2;3;4;5,,FALSE,0,TRUE
CASP6,31,5,1;2;3;4;5,,FALSE,0,TRUE
ADK,31,5,1;2;3;4;5,,FALSE,0,TRUE
ADAR,31,5,1;2;3;4;5,,FALSE,0,TRUE
LAMB2,31,5,1;2;3;4;5,,FALSE,0,TRUE
CDH6,31,5,1;2;3;4;5,,FALSE,0,TRUE
CDH13,31,5,1;2;3;4;5,,FALSE,0,TRUE
FOXG1,5,1,3,1;2;4;5,TRUE,83.9,FALSE
TPD52,31,5,1;2;3;4;5,,FALSE,0,TRUE
PKNOX1,19,3,2;4;5,1;3,TRUE,38.7,TRUE
SEC13,31,5,1;2;3;4;5,,FALSE,0,TRUE
SNU13,31,5,1;2;3;4;5,,FALSE,0,TRUE
PAX9,6,1,4,1;2;3;5,TRUE,80.6,FALSE
NPEPPS,31,5,1;2;3;4;5,,FALSE,0,TRUE
GFER,31,5,1;2;3;4;5,,FALSE,0,TRUE
HNRNPH2,31,5,1;2;3;4;5,,FALSE,0,TRUE
OXCT1,31,5,1;2;3;4;5,,FALSE,0,TRUE
SUMO3,31,5,1;2;3;4;5,,FALSE,0,TRUE
EIF3B,31,5,1;2;3;4;5,,FALSE,0,TRUE
FCGRT,31,5,1;2;3;4;5,,FALSE,0,TRUE
BID,31,5,1;2;3;4;5,,FALSE,0,TRUE
ATP5J2,31,5,1;2;3;4;5,,FALSE,0,TRUE
GFRA1,25,4,1;3;4;5,2,TRUE,19.4,TRUE
DLX5,0,0,,1;2;3;4;5,TRUE,100,FALSE
DLX6,13,2,1;2,3;4;5,TRUE,58.1,FALSE
NDUFV3,31,5,1;2;3;4;5,,FALSE,0,TRUE
RRP1,31,5,1;2;3;4;5,,FALSE,0,TRUE
MARS,31,5,1;2;3;4;5,,FALSE,0,TRUE
ITGA1,31,5,1;2;3;4;5,,FALSE,0,TRUE
ARPP19,31,5,1;2;3;4;5,,FALSE,0,TRUE
MAZ,31,5,1;2;3;4;5,,FALSE,0,TRUE
CMC4,31,5,1;2;3;4;5,,FALSE,0,TRUE
POLE2,24,4,2;3;4;5,1,TRUE,22.6,TRUE
AP1S2,31,5,1;2;3;4;5,,FALSE,0,TRUE
MP68,31,5,1;2;3;4;5,,FALSE,0,TRUE
ATP5F1E,31,5,1;2;3;4;5,,FALSE,0,TRUE
ATP5ME,31,5,1;2;3;4;5,,FALSE,0,TRUE
HDAC4,12,2,3;5,1;2;4,TRUE,61.3,FALSE
EIF6,31,5,1;2;3;4;5,,FALSE,0,TRUE
CTBP2,31,5,1;2;3;4;5,,FALSE,0,TRUE
NDUFA6,31,5,1;2;3;4;5,,FALSE,0,TRUE
PEX3,31,5,1;2;3;4;5,,FALSE,0,TRUE
PRSS12,25,4,1;3;4;5,2,TRUE,19.4,TRUE
CLDN6,31,5,1;2;3;4;5,,FALSE,0,TRUE
CLDN18,13,2,4;5,1;2;3,TRUE,58.1,FALSE
HSD17B7,31,5,1;2;3;4;5,,FALSE,0,TRUE
BCAR1,31,5,1;2;3;4;5,,FALSE,0,TRUE
STX17,31,5,1;2;3;4;5,,FALSE,0,TRUE
CFAP298,31,5,1;2;3;4;5,,FALSE,0,TRUE
RIPK4,24,4,2;3;4;5,1,TRUE,22.6,TRUE
WDR4,31,5,1;2;3;4;5,,FALSE,0,TRUE
TMEM33,31,5,1;2;3;4;5,,FALSE,0,TRUE
SYNJ2BP,31,5,1;2;3;4;5,,FALSE,0,TRUE
GEMIN4,31,5,1;2;3;4;5,,FALSE,0,TRUE
KLF3,25,4,1;2;3;5,4,TRUE,19.4,TRUE
PCBP3,31,5,1;2;3;4;5,,FALSE,0,TRUE
PCBP4,31,5,1;2;3;4;5,,FALSE,0,TRUE
RAB38,14,2,1;5,2;3;4,TRUE,54.8,FALSE
RAB25,31,5,1;2;3;4;5,,FALSE,0,TRUE
CORO7,31,5,1;2;3;4;5,,FALSE,0,TRUE
NUP107,31,5,1;2;3;4;5,,FALSE,0,TRUE
GSDMD,31,5,1;2;3;4;5,,FALSE,0,TRUE
SNX16,31,5,1;2;3;4;5,,FALSE,0,TRUE
EEFSEC,31,5,1;2;3;4;5,,FALSE,0,TRUE
SESN2,31,5,1;2;3;4;5,,FALSE,0,TRUE
EPPK1,31,5,1;2;3;4;5,,FALSE,0,TRUE
ANTXR2,31,5,1;2;3;4;5,,FALSE,0,TRUE
MTPN,31,5,1;2;3;4;5,,FALSE,0,TRUE
YBEY,24,4,1;2;3;4,5,TRUE,22.6,TRUE
HIST1H2BD,31,5,1;2;3;4;5,,FALSE,0,TRUE
RAB15,31,5,1;2;3;4;5,,FALSE,0,TRUE
ARPC4,31,5,1;2;3;4;5,,FALSE,0,TRUE
ELOF1,31,5,1;2;3;4;5,,FALSE,0,TRUE
DEFB1,31,5,1;2;3;4;5,,FALSE,0,TRUE
CD81,31,5,1;2;3;4;5,,FALSE,0,TRUE
SEC61G,31,5,1;2;3;4;5,,FALSE,0,TRUE
TPI1,31,5,1;2;3;4;5,,FALSE,0,TRUE
EIF3E,31,5,1;2;3;4;5,,FALSE,0,TRUE
SEC61B,31,5,1;2;3;4;5,,FALSE,0,TRUE
PTEN,31,5,1;2;3;4;5,,FALSE,0,TRUE
PPP4C,31,5,1;2;3;4;5,,FALSE,0,TRUE
GABARAPL2,31,5,1;2;3;4;5,,FALSE,0,TRUE
ROMO1,31,5,1;2;3;4;5,,FALSE,0,TRUE
UBE2G2,31,5,1;2;3;4;5,,FALSE,0,TRUE
MYL6,31,5,1;2;3;4;5,,FALSE,0,TRUE
ACTB,31,5,1;2;3;4;5,,FALSE,0,TRUE
RAC3,31,5,1;2;3;4;5,,FALSE,0,TRUE
EIF4A1,31,5,1;2;3;4;5,,FALSE,0,TRUE
RPS20,31,5,1;2;3;4;5,,FALSE,0,TRUE
SNAP25,25,4,1;3;4;5,2,TRUE,19.4,TRUE
PRPS1,31,5,1;2;3;4;5,,FALSE,0,TRUE
PSMA6,31,5,1;2;3;4;5,,FALSE,0,TRUE
S100A10,31,5,1;2;3;4;5,,FALSE,0,TRUE
CDC42,31,5,1;2;3;4;5,,FALSE,0,TRUE
DSTN,31,5,1;2;3;4;5,,FALSE,0,TRUE
GMFB,31,5,1;2;3;4;5,,FALSE,0,TRUE
RAB8A,31,5,1;2;3;4;5,,FALSE,0,TRUE
SPCS3,31,5,1;2;3;4;5,,FALSE,0,TRUE
SRP54,31,5,1;2;3;4;5,,FALSE,0,TRUE
RAB4B,31,5,1;2;3;4;5,,FALSE,0,TRUE
RAB2A,31,5,1;2;3;4;5,,FALSE,0,TRUE
RAB5B,31,5,1;2;3;4;5,,FALSE,0,TRUE
CKS1B,31,5,1;2;3;4;5,,FALSE,0,TRUE
RAB10,31,5,1;2;3;4;5,,FALSE,0,TRUE
UBE2D3,31,5,1;2;3;4;5,,FALSE,0,TRUE
UBE2M,31,5,1;2;3;4;5,,FALSE,0,TRUE
UBE2K,31,5,1;2;3;4;5,,FALSE,0,TRUE
UBE2N,31,5,1;2;3;4;5,,FALSE,0,TRUE
RAB14,31,5,1;2;3;4;5,,FALSE,0,TRUE
ACTR3,31,5,1;2;3;4;5,,FALSE,0,TRUE
ACTR2,31,5,1;2;3;4;5,,FALSE,0,TRUE
ACTR1A,31,5,1;2;3;4;5,,FALSE,0,TRUE
COPS2,31,5,1;2;3;4;5,,FALSE,0,TRUE
ARF3,0,0,,1;2;3;4;5,TRUE,100,FALSE
